"","aantal_ag","handlengte_ag","handbreedte_ag","geslacht_ag","lengte_breedte_ratio_ag"
"1",1,18.5,10,"M",1.85
"2",2,17.5,9.5,"V",1.84210526315789
"3",3,16.5,9,"V",1.83333333333333
"4",4,19,10,"M",1.9
"5",5,17.5,10,"V",1.75
"6",6,18,19.5,"M",0.923076923076923
"7",7,18.5,10,"M",1.85
"8",8,18,11,"M",1.63636363636364
"9",9,19,10.5,"M",1.80952380952381
"10",10,16.5,10.5,"M",1.57142857142857
"11",11,20,11,"M",1.81818181818182
"12",12,17,10,"V",1.7
"13",13,17,9,"V",1.88888888888889
"14",14,18.5,11,"M",1.68181818181818
"15",15,20,10,"M",2
"16",16,20,11,"M",1.81818181818182
"17",17,16,8.5,"V",1.88235294117647
"18",18,18,11,"M",1.63636363636364
"19",19,17,9,"M",1.88888888888889
"20",20,15.5,8.5,"V",1.82352941176471
"21",21,20,9.5,"M",2.10526315789474
"22",22,19,10.5,"M",1.80952380952381
"23",23,21,11,"M",1.90909090909091
"24",24,20,11,"M",1.81818181818182
"25",25,20,11,"M",1.81818181818182
"26",26,20,12,"M",1.66666666666667
"27",27,19,10,"M",1.9
"28",28,18.5,11,"M",1.68181818181818
"29",29,18.5,10.5,"M",1.76190476190476
"30",30,19.5,11,"M",1.77272727272727
"31",31,18.5,9.5,"V",1.94736842105263
"32",32,17,9.5,"V",1.78947368421053
"33",33,17.5,9,"V",1.94444444444444
"34",34,19,10,"M",1.9
"35",35,20,11,"M",1.81818181818182
"36",36,18.5,10,"M",1.85
"37",37,20,9.5,"M",2.10526315789474
"38",38,19,10.5,"M",1.80952380952381
"39",39,17,9.5,"M",1.78947368421053
"40",40,19,10.5,"M",1.80952380952381
