,breedte,lengte,geslacht
1,9.5,18.5,man
2,9.6,17.2,vrouw
3,9.1,16.6,vrouw
4,9.2,17.7,man
5,9.5,16.6,vrouw
6,9.7,17.4,man
7,9,19,man
8,11.2,18.2,man
9,10.5,18.8,man
10,10.7,16.7,man
11,9.9,18.6,man
12,9.6,17.5,vrouw
13,9,17.2,vrouw
14,11,17.8,man
15,9.2,19,man
16,9.7,19.2,man
17,8.1,15.2,vrouw
18,9.9,18.3,man
19,9.4,16.6,man
20,8.8,15.5,vrouw
21,9.3,19.5,man
22,9.7,18.3,man
23,10.9,19.5,man
24,10.9,19.2,man
25,11.1,19.8,man
26,9.6,19.9,man
27,10.5,18.5,man
28,10.3,18.8,man
29,9.9,18.9,man
30,9.9,17.8,man
31,9.1,17.7,vrouw
32,8.9,16.8,vrouw
33,9.1,17,vrouw
34,9.3,19.2,man
35,9.9,19.6,man
36,9.1,18.5,man
37,10.5,19.7,man
38,10,18.8,man
39,9.5,17,man
40,9.8,18.6,man
